"Ensolarado","Quente","Alta","Fraco",Nao
"Ensolarado","Quente","Alta","Forte",Nao
"Nublado","Quente","Alta","Fraco",Sim
"Chovendo","Moderado","Alta","Fraco",Sim
"Chovendo","Frio","Normal","Fraco",Sim
"Chovendo","Frio","Normal","Forte",Nao
"Nublado","Frio","Normal","Forte",Sim
"Ensolarado","Moderado","Alta","Fraco",Nao
"Ensolarado","Frio","Normal","Fraco",Sim
"Chovendo","Moderado","Normal","Fraco",Sim
"Ensolarado","Moderado","Normal","Forte",Sim
"Nublado","Moderado","Alta","Forte",Sim
"Nublado","Quente","Normal","Fraco",Sim
"Chovendo","Moderado","Alta","Forte",Nao
